file	category	execution_evidence
modules/mod-playerbots/sql/characters/ai_playerbot_ahbot.sql	other merged SQL not executed in this session	historical/base/auth/character/other; filename alone does not prove live DB needs it
modules/mod-playerbots/sql/characters/ai_playerbot_cache.sql	other merged SQL not executed in this session	historical/base/auth/character/other; filename alone does not prove live DB needs it
modules/mod-playerbots/sql/characters/ai_playerbot_custom_strategy.sql	other merged SQL not executed in this session	historical/base/auth/character/other; filename alone does not prove live DB needs it
modules/mod-playerbots/sql/characters/ai_playerbot_db_store.sql	other merged SQL not executed in this session	historical/base/auth/character/other; filename alone does not prove live DB needs it
modules/mod-playerbots/sql/characters/ai_playerbot_names.sql	other merged SQL not executed in this session	historical/base/auth/character/other; filename alone does not prove live DB needs it
modules/mod-playerbots/sql/characters/ai_playerbot_random_bots.sql	other merged SQL not executed in this session	historical/base/auth/character/other; filename alone does not prove live DB needs it
modules/mod-playerbots/sql/other/database_merge_classic.sql	other merged SQL not executed in this session	historical/base/auth/character/other; filename alone does not prove live DB needs it
modules/mod-playerbots/sql/other/database_merge_tbc.sql	other merged SQL not executed in this session	historical/base/auth/character/other; filename alone does not prove live DB needs it
modules/mod-playerbots/sql/other/database_merge_wotlk.sql	other merged SQL not executed in this session	historical/base/auth/character/other; filename alone does not prove live DB needs it
modules/mod-playerbots/sql/other/delete_all_randombots.sql	other merged SQL not executed in this session	historical/base/auth/character/other; filename alone does not prove live DB needs it
modules/mod-playerbots/sql/other/delete_randombots.sql	other merged SQL not executed in this session	historical/base/auth/character/other; filename alone does not prove live DB needs it
modules/mod-playerbots/sql/other/reset_randombots.sql	other merged SQL not executed in this session	historical/base/auth/character/other; filename alone does not prove live DB needs it
modules/mod-playerbots/sql/world/ai_playerbot_indexes.sql	other merged SQL not executed in this session	historical/base/auth/character/other; filename alone does not prove live DB needs it
modules/mod-playerbots/sql/world/ai_playerbot_rpg_races.sql	other merged SQL not executed in this session	historical/base/auth/character/other; filename alone does not prove live DB needs it
modules/mod-playerbots/sql/world/ai_playerbot_texts.sql	other merged SQL not executed in this session	historical/base/auth/character/other; filename alone does not prove live DB needs it
modules/mod-playerbots/sql/world/classic/ai_playerbot_enchants.sql	other merged SQL not executed in this session	historical/base/auth/character/other; filename alone does not prove live DB needs it
modules/mod-playerbots/sql/world/classic/ai_playerbot_named_location.sql	other merged SQL not executed in this session	historical/base/auth/character/other; filename alone does not prove live DB needs it
modules/mod-playerbots/sql/world/classic/ai_playerbot_travel_nodes.sql	other merged SQL not executed in this session	historical/base/auth/character/other; filename alone does not prove live DB needs it
modules/mod-playerbots/sql/world/classic/ai_playerbot_weightscales.sql	other merged SQL not executed in this session	historical/base/auth/character/other; filename alone does not prove live DB needs it
modules/mod-playerbots/sql/world/classic/ai_playerbot_zone_level.sql	other merged SQL not executed in this session	historical/base/auth/character/other; filename alone does not prove live DB needs it
sql/base/tw_world_area_template.sql	other merged SQL not executed in this session	historical/base/auth/character/other; filename alone does not prove live DB needs it
sql/base/tw_world_areatrigger_bg_entrance.sql	other merged SQL not executed in this session	historical/base/auth/character/other; filename alone does not prove live DB needs it
sql/base/tw_world_areatrigger_involvedrelation.sql	other merged SQL not executed in this session	historical/base/auth/character/other; filename alone does not prove live DB needs it
sql/base/tw_world_areatrigger_tavern.sql	other merged SQL not executed in this session	historical/base/auth/character/other; filename alone does not prove live DB needs it
sql/base/tw_world_areatrigger_teleport.sql	other merged SQL not executed in this session	historical/base/auth/character/other; filename alone does not prove live DB needs it
sql/base/tw_world_areatrigger_template.sql	other merged SQL not executed in this session	historical/base/auth/character/other; filename alone does not prove live DB needs it
sql/base/tw_world_auctionhousebot.sql	other merged SQL not executed in this session	historical/base/auth/character/other; filename alone does not prove live DB needs it
sql/base/tw_world_autobroadcast.sql	other merged SQL not executed in this session	historical/base/auth/character/other; filename alone does not prove live DB needs it
sql/base/tw_world_battleground_events.sql	other merged SQL not executed in this session	historical/base/auth/character/other; filename alone does not prove live DB needs it
sql/base/tw_world_battleground_template.sql	other merged SQL not executed in this session	historical/base/auth/character/other; filename alone does not prove live DB needs it
sql/base/tw_world_battlemaster_entry.sql	other merged SQL not executed in this session	historical/base/auth/character/other; filename alone does not prove live DB needs it
sql/base/tw_world_broadcast_text.sql	other merged SQL not executed in this session	historical/base/auth/character/other; filename alone does not prove live DB needs it
sql/base/tw_world_cartographer.sql	other merged SQL not executed in this session	historical/base/auth/character/other; filename alone does not prove live DB needs it
sql/base/tw_world_chat_channels.sql	other merged SQL not executed in this session	historical/base/auth/character/other; filename alone does not prove live DB needs it
sql/base/tw_world_cinematic_waypoints.sql	other merged SQL not executed in this session	historical/base/auth/character/other; filename alone does not prove live DB needs it
sql/base/tw_world_collection_mount.sql	other merged SQL not executed in this session	historical/base/auth/character/other; filename alone does not prove live DB needs it
sql/base/tw_world_collection_pet.sql	other merged SQL not executed in this session	historical/base/auth/character/other; filename alone does not prove live DB needs it
sql/base/tw_world_collection_toy.sql	other merged SQL not executed in this session	historical/base/auth/character/other; filename alone does not prove live DB needs it
sql/base/tw_world_conditions.sql	other merged SQL not executed in this session	historical/base/auth/character/other; filename alone does not prove live DB needs it
sql/base/tw_world_creature.sql	other merged SQL not executed in this session	historical/base/auth/character/other; filename alone does not prove live DB needs it
sql/base/tw_world_creature_addon.sql	other merged SQL not executed in this session	historical/base/auth/character/other; filename alone does not prove live DB needs it
sql/base/tw_world_creature_ai_events.sql	other merged SQL not executed in this session	historical/base/auth/character/other; filename alone does not prove live DB needs it
